SampleID	Kingdom	Phylum	Class	Order	Family	Genus	Species
22M17_X262	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
23E38_Y32	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Unassigned
22M21_Y509	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Eggerthella	Unassigned
22M17_Y476	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unassigned
22M21_Y498	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22M21_Y518	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22M21_Y529	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22M17_Y430	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22A06_22_46_16AY	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Unassigned
22D16_Y77	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22M17_Y466	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22K15_16_57_204KY	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22M21_Y482	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22G46_Y12	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22M17_Y453	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Slackia	Unassigned
22M17_Y446	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22M17_Y252	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22M17_Y471	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22A06_22_46_146AY	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Unassigned
23E38_Y54	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Unassigned
22A06_22_46_252AY	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Paraeggerthella	Unassigned
22G46_Y146	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
23G41_Y182	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Unassigned
22A06_22_46_X169A	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	Unassigned
22M21_Y528	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22M17_Y396	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22M17_Y436	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22M17_X288	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Unassigned
23K01_Y138	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22M21_Y530	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22M17_Y434	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22M17_Y424	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22A06_22_46_26AAY	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Unassigned
23E38_Y174	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Unassigned
22A06_22_46_141AY	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	Unassigned
22A06_22_46_X170A	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Unassigned
22A06_22_46_X104A	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	Unassigned
22A06_22_46_117AY	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Unassigned
22A06_22_46_277AY	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Paraeggerthella	Unassigned
22M17_Y442	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22O_A9_1_621_L_Y230	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22M17_Y426	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22A06_22_46_X112A	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Unassigned
22A06_22_46_237AY	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unassigned
22M21_Y494	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22A06_22_46_38AAY	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Unassigned
22M21_Y489	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22M21_Y478	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
23A22_Y16	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22A06_22_46_231AY	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22G09_14_70_22K15_16_35_55_Y79	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
23E38_Y125	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Unassigned
22M17_Y428	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22M17_Y448	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Slackia	Unassigned
22M17_Y433	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22A06_22_46_X193A	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Unassigned
22M17_Y461	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22M21_Y506	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22M21_Y481	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Eggerthella	Unassigned
22M21_Y525	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
23P02_Y36	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Unassigned
22A06_22_46_17AAY	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Unassigned
22A06_22_46_238AY	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Paraeggerthella	Unassigned
22M17_Y435	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22G70_AY34	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22A06_22_46_222AY	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unassigned
22M21_Y475	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22A06_22_46_24AAY	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Unassigned
22M17_Y457	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22K15_16_57_232KY	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22A06_22_46_168AY	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Eggerthella	Unassigned
23E38_Y50	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Unassigned
22M17_Y429	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22A06_22_46_15AY	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Unassigned
22M21_Y500	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Eggerthella	Unassigned
22A06_22_46_260AY	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Paraeggerthella	Unassigned
23E38_Y53	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Unassigned
22A06_22_46_108AY	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Unassigned
22M21_Y522	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
23A22_Y94	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Unassigned	Unassigned
22A06_A168	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22M17_Y460	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22A06_22_46_173AY	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Unassigned
22A06_22_46_207AY	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Paraeggerthella	Unassigned
23Z09_Y34	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22M21_Y479	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22A06_22_46_X143A	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Unassigned
22K15_16_57_X124	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22A06_22_46_224AY	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Paraeggerthella	Unassigned
22M17_Y462	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22A06_22_46_22AY	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Unassigned
22G46_Y219	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22A06_22_46_275AY	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Paraeggerthella	Unassigned
22K15_16_57_170KY	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22M17_Y463	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22G46_Y188	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22G46_Y81	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22A06_22_46_170AY	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Unassigned
22A06_22_46_151AY	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Paraeggerthella	Unassigned
23E38_Y173	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Arachnia	Unassigned
22A06_22_46_246AY	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Unassigned
23A22_Y29	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Unassigned
22G09_14_70_22K15_16_35_55_Y5	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
23Z09_Y178	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22G46_Y27	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22A06_22_46_22AAY	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Unassigned
22A06_22_46_128AY	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Paraeggerthella	Unassigned
23E38_Y184	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Unassigned
22A06_22_46_156AY	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Paraeggerthella	Unassigned
22K15_16_57_X194	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22M17_Y449	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22A06_22_46_261AY	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Unassigned
22A06_22_46_21AY	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Paraeggerthella	Unassigned
22A06_22_46_270AY	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Unassigned
22A06_22_46_162AY	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Unassigned
23E38_Y176	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Unassigned
22M17_Y425	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22A06_22_46_25AY	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto	Unassigned
22O_A9_1_621_L_Y78	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22M17_Y477	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22K15_16_57_236KY	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22A06_22_46_19AAY	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unassigned
22A06_22_46_X129A	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	Unassigned
23E38_Y6	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Unassigned
22C_A9_621_C_X295	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22G46_Y193	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
23E38_Y185	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Unassigned
22A06_22_46_230AY	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unassigned
22A06_22_46_27AAY	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Unassigned
22M21_Y508	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
23E38_X14	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Kocuria	Unassigned
22A06_22_46_283AY	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Unassigned
22A06_22_46_11AY	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto	Unassigned
22A06_22_46_279AY	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unassigned
22A06_22_46_147AY	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Eggerthella	Unassigned
22A06_22_46_X152A	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	Unassigned
22K15_16_57_156KY	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22M21_Y516	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22A06_22_46_258AY	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unassigned
22A06_22_46_X151A	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Unassigned
22A06_22_46_281AY	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Paraeggerthella	Unassigned
22A06_22_46_256AY	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unassigned
22K15_16_57_X113	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
23P02_Y9	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Unassigned
22A06_22_46_X111A	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Unassigned
22M17_Y451	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22A06_22_46_X80A	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Unassigned
22M17_Y470	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22A06_22_46_X76A	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Unassigned
22M21_Y505	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
23A22_Y17	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22A06_22_46_208AY	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unassigned
22K15_16_57_145KY	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22A06_22_46_206AY	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Paraeggerthella	Unassigned
22A06_22_46_54AY	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Unassigned
22A06_22_46_130AY	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	Unassigned
22K15_16_57_X177	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22M21_Y526	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22G70_AY51	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22A06_22_46_98AY	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22K15_16_57_208KY	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22A06_22_46_286AY	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Paraeggerthella	Unassigned
22A06_22_46_12AY	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Unassigned
22K15_16_57_220KY	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22M17_Y450	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
23E38_Y92	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22A06_22_46_264AY	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Unassigned
22A06_22_46_104AY	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	Unassigned
22M21_Y476	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22A06_22_46_18AAY	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Unassigned
22M21_Y502	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22A06_22_46_240AY	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Unassigned
22A06_22_46_106AY	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Paraeggerthella	Unassigned
22K15_16_57_113KY	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22A06_22_46_251AY	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unassigned
23E38_Y51	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Unassigned
22A06_22_46_232AY	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unassigned
22K15_16_57_157KY	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22A06_22_46_14AAY	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unassigned
22M21_Y435	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22A06_22_46_159AY	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22K15_16_57_125KY	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22K15_16_57_107KY	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22A06_A177	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
23E38_Y80	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22K15_16_57_143KY	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22A06_22_46_X26A	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Unassigned
22A06_22_46_115AY	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Paraeggerthella	Unassigned
22A06_22_46_16AAY	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Unassigned
22M21_Y507	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
23A22_Y9	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
23P02_Y6	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Unassigned
22A06_22_46_X101A	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	Unassigned
22A06_22_46_111AY	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Unassigned
22A06_22_46_23AAY	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Unassigned
22A06_22_46_148AY	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22A06_22_46_X61A	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Unassigned
23P02_Y25	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Unassigned
22M17_Y427	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22A06_22_46_101AY	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Paraeggerthella	Unassigned
22A06_22_46_125AY	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Unassigned
22A06_22_46_163AY	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Paraeggerthella	Unassigned
22A06_22_46_13AY	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnotalea	Unassigned
22A06_22_46_254AY	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Unassigned
22A06_22_46_248AY	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unassigned
22M21_Y445	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22A06_22_46_186AY	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Unassigned
22A06_22_46_X157A	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Unassigned
22A06_22_46_137AY	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Unassigned
22A06_22_46_X15A	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Unassigned
22A06_22_46_109AY	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Unassigned
22A06_22_46_139AY	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22A06_22_46_58AY	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Unassigned
22K15_16_57_207KY	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22M17_Y478	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22A06_22_46_154AY	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Unassigned
22M17_Y441	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22K15_16_57_231KY	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22A06_22_46_161AY	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Paraeggerthella	Unassigned
22A06_22_46_255AY	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Intestinimonas	Unassigned
22A06_22_46_20AAY	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unassigned
22A06_22_46_180AY	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Unassigned
22A06_22_46_X34A	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Unassigned
22A06_22_46_160AY	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Paraeggerthella	Unassigned
22A06_22_46_244AY	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Unassigned
23P02_Y14	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Unassigned
22K15_16_57_100KY	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22A06_22_46_226AY	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Unassigned
22A06_22_46_267AY	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	Unassigned
22G46_Y211	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
22A06_22_46_213AY	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unassigned
22A06_22_46_262AY	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Paraeggerthella	Unassigned
22A06_22_46_33AAY	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Unassigned
22A06_22_46_245AY	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Unassigned
22A06_22_46_100AY	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Paraeggerthella	Unassigned
22A06_22_46_132AY	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Paraeggerthella	Unassigned
